,Gene,LogFC,-Log10P
PHA,HAVCR2,4.961784,300.0
PHA,IFIT3,4.745559,300.0
PHA,IFI6,3.8357964,300.0
PHA,ISG15,3.3682933,300.0
PHA,HOPX,3.2336044,300.0
PHA,ISG20,3.0566785,300.0
PHA,PRF1,2.96111,300.0
PHA,LY6E,2.43698,300.0
PHA,MX1,3.4624078,299.4443671372233
PHA,HSPA5,2.9232328,281.9989619179083
PHA,IFI44L,3.567236,270.75991768625175
PHA,WARS,3.9469192,263.1240982946406
PHA,CALR,2.6133182,258.90295900150903
PHA,HSP90B1,2.507142,253.63442325087067
PHA,CXCR4,-3.186087,247.28672996564777
PHA,BTG1,-1.565965,242.51620614200266
PHA,FGFBP2,-5.2001467,242.1522265738615
PHA,CCND2,3.2324393,240.37301682127196
PHA,TYMP,2.7699273,231.23519483947692
PHA,CYBA,-1.6750485,220.2816126466802
PHA,STAT1,2.8763764,219.2385750177902
PHA,HSP90AA1,1.5415338,215.4128235061786
PHA,HSP90AB1,2.1138227,214.31858217648636
PHA,PDIA6,2.6452925,195.64434792933574
PHA,GBP1,3.661475,194.67657992982748
PHA,GZMA,1.930876,184.18115099541384
PHA,PLSCR1,3.0815997,176.49723245618125
PHA,SDF2L1,2.997459,167.89910129881946
PHA,GBP5,2.5699627,164.45053137405858
PHA,SEC61G,2.2906015,161.35149109394393
PHA,TUBA1B,2.3041482,158.8660489145878
PHA,APOL6,2.7950327,153.51539694497316
PHA,CLIC3,-1.5830644,153.1037853666506
PHA,CD38,2.3656936,153.00297162334837
PHA,APOBEC3G,1.5014666,150.27405166224358
PHA,IVNS1ABP,2.7241852,149.16312035500152
PHA,GBP2,2.1590226,148.91497536381598
PHA,ID2,2.2627497,148.640931913588
PHA,IGFBP7,3.1977618,144.18318004858028
PHA,ACTG1,1.2313206,143.3891100006863
PHA,TNFSF10,3.1318614,135.33355707957608
PHA,IRF7,2.4169865,134.59213154362607
PHA,PARP14,2.12351,133.91389512121253
PHA,GBP4,2.2240798,129.26361304033807
PHA,MXD4,-2.4781718,127.91431910368095
PHA,EIF2AK2,2.1681874,127.72623136060739
PHA,SAMD9L,2.0114992,123.89496470989076
PHA,KLRB1,-1.8487338,123.29216752897001
PHA,IFITM3,2.596063,121.40501890980086
PHA,TNFRSF18,2.57207,120.29361909375777
PHA,LSP1,-1.6530657,115.17436321734887
PHA,AC004687.1,-1.2401326,109.80180490866861
PHA,PKM,2.22513,108.5620626552805
PHA,TNFRSF9,5.782195,108.12656634167719
PHA,CDK6,4.053169,105.59971731308507
PHA,NME2,1.9017363,104.98740128190451
PHA,CD48,1.923879,104.29842781146077
PHA,IL2RA,3.5888782,103.05174035119686
PHA,TPM4,3.1341016,102.49194177077464
PHA,FCER1G,1.4391205,100.78769861561527
PHA,KLRC1,1.9696845,98.01724126900747
PHA,GNPTAB,1.7522445,97.66645891787752
PHA,VMP1,2.6174083,92.88738336902888
PHA,UPP1,1.8506919,92.11546713109703
PHA,LAP3,2.336547,90.35899100592016
PHA,MX2,2.5828526,90.24045722679486
PHA,CD69,1.675002,86.37802071507438
PHA,LMAN1,2.2229202,85.12751898541721
PHA,IFIT2,2.8675604,83.89566352459559
PHA,SLAMF7,2.3013916,81.55082531755777
PHA,LINC01871,2.341186,79.76893399719447
PHA,RSAD2,3.06183,78.83157802515078
PHA,FEZ1,3.9296753,78.29173668237841
PHA,LBH,-1.7083308,77.05161108639822
PHA,NFKBIA,1.2264879,76.8304555656247
PHA,HERC5,2.7128472,76.80232791795953
PHA,CTSC,1.5890146,76.6614395222979
PHA,SOCS1,3.0312293,74.7050207598126
PHA,GZMM,-1.8845729,74.24269792952452
PHA,P2RX5,3.946012,70.25968138347069
PHA,HCST,-1.2692627,68.8045281483135
PHA,PDCD4,-1.731769,68.60009075897392
PHA,DDX21,2.0842016,65.99415455330143
PHA,PRDM1,2.983199,65.12934235698594
PHA,ATM,-1.9515566,64.82692551271599
PHA,YWHAQ,1.5495917,60.742646505894434
PHA,CREM,1.6689317,59.67701499773426
PHA,EPB41,-1.8193438,58.96489694920554
PHA,SOCS2,6.161091,58.6009558617
PHA,CD226,2.5041301,58.22074510088013
PHA,SORL1,-1.8877537,57.820521739610356
PHA,PIK3R1,-1.3745894,57.419538278872466
PHA,BATF,2.593722,55.286166496540744
PHA,PTPN6,2.5517852,54.803883212047275
PHA,AOAH,-1.6820132,54.45907256802768
PHA,IER3,1.6738949,53.667389291726295
PHA,TRIM22,1.4979168,51.70648265506532
PHA,IFNG,4.677172,50.56384982030248
PHA,MYO1F,-1.6628736,50.361255728674315
PHA,OAS3,3.3473148,49.95761826686972
PHA,PRMT2,-1.1414952,49.433764335113096
PHA,FOXP1,-1.2703891,48.58741237236958
PHA,IFIT1,2.9299402,47.94853655545371
PHA,PPM1K,1.5867913,46.78533068191309
PHA,NFKB1,1.4933815,45.702906994964806
PHA,BPGM,2.2900586,44.83104303317711
PHA,PIK3IP1,-2.3068664,42.87873400466254
PHA,SLC27A2,5.8683734,40.333604743560166
PHA,GZMH,1.2255973,39.93916573597171
PHA,TNFRSF4,2.0918784,38.836267426277885
PHA,SEPTIN6,-1.2923782,38.04761737351442
PHA,KLRF1,-1.4870936,37.954495876154816
PHA,IFIH1,2.3546367,36.764072728138125
PHA,HIPK2,1.4483463,36.53430624951354
PHA,PMAIP1,2.0957212,36.195089155075586
PHA,ZBTB20,-2.0274618,35.83944859063373
PHA,ADGRE5,1.2849438,35.56457228052031
PHA,GCHFR,-2.4982374,34.975646105577646
PHA,SPON2,-4.2793164,34.94572008179569
PHA,AUTS2,-2.6787076,34.497428333970404
PHA,PYHIN1,-1.0816791,31.924132059852393
PHA,CBLB,1.4316658,31.826275855043676
PHA,FRMD4B,4.9910517,31.106589123790275
PHA,IFITM1,1.2764293,31.05865131087171
PHA,DUSP4,1.8007896,30.732193607555367
PHA,ARID5B,1.8582963,30.697101283341773
PHA,TGFB1,-1.1222956,29.939016009758337
