Gene,LogFC,Adjusted_PValue,Regulation
C1orf21,-2.2719808,1.536382286698717e-45,Downregulated
MYO1F,-2.2055144,2.6246159828674823e-45,Downregulated
TMEM173,2.7107198,2.473625538827479e-44,Upregulated
KLRB1,-1.6940589,2.575915515118724e-44,Downregulated
SNHG15,2.60989,1.2909863472594786e-43,Upregulated
CLIC3,-2.0015218,7.901028656578827e-43,Downregulated
MBP,-1.2105234,1.4778062870199488e-42,Downregulated
LTB,1.5025314,1.5738967804123526e-42,Upregulated
HAVCR2,5.308068,5.606041645806573e-42,Upregulated
HLA-DPB1,-1.5610718,1.617912520478573e-40,Downregulated
RSAD2,3.3486507,1.3461605535985174e-39,Upregulated
CCSER2,-1.185435,3.233822969514374e-39,Downregulated
ADGRE5,1.2681501,4.7987167229093173e-39,Upregulated
OXCT1,1.8646867,5.649742904537454e-39,Upregulated
ATM,-1.7505482,2.61527966468239e-38,Downregulated
RPS4Y1,-1.198283,4.2051758865058697e-38,Downregulated
PDE3B,-2.4978077,1.1000074159730125e-37,Downregulated
PIK3IP1,-1.9196428,1.1873550336185608e-37,Downregulated
MAML2,2.3314242,3.6501981847130758e-37,Upregulated
DUSP4,1.3976438,2.0394309228926282e-36,Upregulated
AC017002.3,5.6512933,4.26635637018078e-34,Upregulated
LINC01871,1.0089542,4.949058547313892e-34,Upregulated
MYO1G,1.9372728,5.374435232435226e-34,Upregulated
KLF2,-1.650418,2.270800116936892e-33,Downregulated
SORL1,-2.126441,2.654496192225197e-32,Downregulated
TSC22D3,-1.4321766,4.5393608130491914e-32,Downregulated
AUTS2,-2.5030417,1.3117357994032814e-29,Downregulated
TRIM22,1.2707211,2.5263687036873195e-29,Upregulated
GNPTAB,1.2107891,3.823393797329291e-29,Upregulated
RGS16,3.1912215,4.6584996215873115e-29,Upregulated
RNF166,-2.5323892,5.579782998181531e-29,Downregulated
ARHGEF1,-1.539012,3.0743780969982927e-28,Downregulated
S100A4,-1.0659659,4.480675340823996e-28,Downregulated
ACTA2,2.302403,7.761812167599864e-28,Upregulated
TNFRSF18,2.53693,7.877936527154695e-28,Upregulated
FYB1,-1.186701,1.4830775581292413e-27,Downregulated
YBX3,1.6965309,1.1596928442165406e-26,Upregulated
CCL3L1,2.5336716,1.352241892773838e-26,Upregulated
GCHFR,-1.6711164,1.9537791658490067e-26,Downregulated
AHNAK,-1.5243979,5.654124142202507e-26,Downregulated
TNIP3,2.8712518,1.2059408199137645e-25,Upregulated
GADD45B,1.1852559,2.081783160470729e-25,Upregulated
