baseMean,log2fc_shrunk,lfcSE,stat,pval,pvals_adj,names,Cell type,Regulation
7.571761743914939,-3.343154306653312,0.6907352157499872,-5.154348430845073,2.5451432210721534e-07,8.89018184137904e-07,A2M-AS1,CD4+ T Cells,downregulated
1240.5508643314836,-1.8167203478231233,0.1072541733260621,-17.019619065653263,5.8751608910952946e-65,2.4209870147654062e-63,AAK1,CD4+ T Cells,downregulated
231.39923198240206,1.5413782737419257,0.16358062792120245,9.53000937995596,1.5726901902413779e-21,1.37937857077676e-20,AARS,CD4+ T Cells,upregulated
496.12699462039683,1.207999755990465,0.16903537223956508,7.269357554932315,3.6120117729468933e-13,1.9522554071023264e-12,AARSD1,CD4+ T Cells,upregulated
18.517933885402105,-1.6643795779243886,0.4342717673391664,-4.153732134074573,3.2709605809084126e-05,9.278471281619076e-05,AASS,CD4+ T Cells,downregulated
811.6515432185638,1.0947909684068915,0.08592205135396327,12.804346208399512,1.5502596998060251e-37,2.6515694568232144e-36,AATF,CD4+ T Cells,upregulated
54.562328222033045,-1.7357216876656225,0.25029531565970836,-7.123066262309498,1.055520421343472e-12,5.541396229614213e-12,ABCA7,CD4+ T Cells,downregulated
53.123803586351016,-1.3696667640960296,0.32573646622409186,-4.460147501195904,8.190326493161404e-06,2.471671482633762e-05,ABCB1,CD4+ T Cells,downregulated
28.1313581917169,1.8822986038354126,0.3999707919420968,4.981041545724484,6.324295927410157e-07,2.1371026841953117e-06,ABCB6,CD4+ T Cells,upregulated
26.78381061965146,-3.0602844070582447,0.43060920180614126,-7.353565628541038,1.9298818312304821e-13,1.0587080716644715e-12,ABCD2,CD4+ T Cells,downregulated
189.5028933404589,1.3657109398635912,0.20630779186764844,6.759817734867377,1.381654417735329e-11,6.770442815861199e-11,ABCD3,CD4+ T Cells,upregulated
1138.33088837976,1.8775775045960053,0.1273161747497866,14.845093364995554,7.485052777997351e-50,1.9673600384843933e-48,ABCE1,CD4+ T Cells,upregulated
1972.8221972301715,1.602064200572675,0.1372833386242863,11.794303512501042,4.17641549384343e-32,5.780962752302865e-31,ABCF1,CD4+ T Cells,upregulated
498.5353048393122,2.241937439094322,0.15969314359076595,14.150809713715931,1.8461921127275914e-45,4.1719280954091096e-44,ABCF2,CD4+ T Cells,upregulated
66.18689109067775,-1.536535274052407,0.2937551767664932,-5.47329786095764,4.417366997885767e-08,1.6563327221302182e-07,ABCG1,CD4+ T Cells,downregulated
9.566959183196515,-1.9028691099797257,0.5544514855747006,-3.83815689154723,0.00012396127277805935,0.0003259774811490276,ABHD1,CD4+ T Cells,downregulated
426.4719083936568,-1.8512983948329813,0.21996036725319118,-8.59356540110488,8.431146804814995e-18,6.083414120876811e-17,ABHD14B,CD4+ T Cells,downregulated
12.9625758736323,-2.1241999939258793,0.5011674349156415,-4.622640815800191,3.7888544376660636e-06,1.1851295418302392e-05,ABHD4,CD4+ T Cells,downregulated
830.2238490320674,-1.8368055712465707,0.19923653375311,-9.374296525699329,6.96385922047125e-21,5.908462335978555e-20,ABLIM1,CD4+ T Cells,downregulated
2126.879957326295,1.4489801089114926,0.13216739767983685,11.13156172082996,8.807865455788477e-29,1.0654078695470265e-27,ABRACL,CD4+ T Cells,upregulated
229.11018609520835,-3.237658579115938,0.1873670683956998,-17.389240380590287,9.954479873991175e-68,4.4062247178501596e-66,ABTB1,CD4+ T Cells,downregulated
5.531386016705244,-4.702594101098301,1.1818593698430262,-4.225059774739509,2.3887736346703105e-05,6.872843000322865e-05,AC002460.2,CD4+ T Cells,downregulated
14.617691662437894,-1.5170263908977344,0.43984679926433584,-3.7836192194792364,0.0001545642354822926,0.00040121459031588504,AC002553.1,CD4+ T Cells,downregulated
40.37706166681341,-2.2601655862800727,0.3185229729806408,-7.318870158725702,2.5006740432371843e-13,1.3657918706656785e-12,AC003102.1,CD4+ T Cells,downregulated
74.37475227832239,-1.4450412059132258,0.3402172516556962,-4.515280143791819,6.3233118687417115e-06,1.9339635692704336e-05,AC003681.1,CD4+ T Cells,downregulated
77.36024473147529,2.387267997510766,0.25796523743577005,9.402252102359563,5.3407468147460926e-21,4.572269536620034e-20,AC004148.1,CD4+ T Cells,upregulated
23.887955798722956,2.09741313770301,0.40317671357786966,5.404044972896201,6.515459699214494e-08,2.4060757889925267e-07,AC004241.3,CD4+ T Cells,upregulated
17.40371476882285,-1.836506011479797,0.48413349920515913,-4.152938927073021,3.28232361505691e-05,9.304151668859418e-05,AC004494.1,CD4+ T Cells,downregulated
43.13509871116514,-1.855421548354398,0.44284615602248617,-4.517531404610366,6.256475112917847e-06,1.9142485191669645e-05,AC004585.1,CD4+ T Cells,downregulated
8.976148172509848,-2.252136904322633,0.642039674374967,-3.970592462732454,7.169412512417462e-05,0.00019463112788554364,AC004771.1,CD4+ T Cells,downregulated
43.07790693134419,-1.0012928407647133,0.25020328285450794,-4.173565514447094,2.9986937800958824e-05,8.537719417724837e-05,AC004812.2,CD4+ T Cells,downregulated
17.32543347403061,-1.6144956825659729,0.39953449813924174,-4.356964504975027,1.318786445035785e-05,3.888067191659024e-05,AC004837.4,CD4+ T Cells,downregulated
55.17047802568051,-1.3348431328958072,0.2400790244771951,-5.748235134181672,9.017977348105427e-09,3.567337368835616e-08,AC004889.1,CD4+ T Cells,downregulated
