names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
ANXA5,17.34481,1.2008523,2.1589091524759125e-67,1.8960106561069658e-66,CD4+ T Cells,upregulated
PMEPA1,17.297012,1.7312486,4.9541862370547406e-67,4.3279121924022314e-66,CD4+ T Cells,upregulated
P2RY10,16.967619,2.4907558,1.42598354150424e-64,1.204981595598141e-63,CD4+ T Cells,upregulated
ARHGAP26,16.869257,2.4771814,7.574414021733186e-64,6.358278410020391e-63,CD4+ T Cells,upregulated
ZYX,16.11113,1.3624271,2.1309791303605147e-58,1.6829036236280724e-57,CD4+ T Cells,upregulated
UPP1,15.914582,1.0710261,5.0200607798423137e-57,3.890194241623821e-56,CD4+ T Cells,upregulated
AC008105.3,15.862665,1.8534458,1.1491268061100098e-56,8.851006051532945e-56,CD4+ T Cells,upregulated
SYTL3,15.824198,1.3231306,2.118818510370476e-56,1.6259351139673579e-55,CD4+ T Cells,upregulated
TRIB3,15.465097,1.904391,5.968332158126171e-54,4.4559055936312635e-53,CD4+ T Cells,upregulated
ITM2A,15.278227,1.1333234,1.0680777337314947e-52,7.794704979134036e-52,CD4+ T Cells,upregulated
PIK3IP1,15.054206,1.6669945,3.2396805514124846e-51,2.3212563812265276e-50,CD4+ T Cells,upregulated
TNRC6B,14.8972025,1.0601844,3.4366940774518192e-50,2.424599400973581e-49,CD4+ T Cells,upregulated
PHLDA1,14.873752,2.4890034,4.880047081388068e-50,3.4340995142516796e-49,CD4+ T Cells,upregulated
TBC1D10C,14.852114,1.1171347,6.74095692200869e-50,4.7335543362742135e-49,CD4+ T Cells,upregulated
TSC22D3,14.5774355,1.612397,3.909266702014827e-48,2.6902847878160295e-47,CD4+ T Cells,upregulated
SAMD9,14.524123,1.673786,8.522595130543811e-48,5.845630679129116e-47,CD4+ T Cells,upregulated
ITGB2,13.975162,1.0140419,2.2101007158927605e-44,1.4400486815885966e-43,CD4+ T Cells,upregulated
TTC39C,13.504578,1.4456421,1.4695327772485003e-41,9.146279088204159e-41,CD4+ T Cells,upregulated
DNAJC1,13.495372,1.1620888,1.665121194375056e-41,1.035192074863921e-40,CD4+ T Cells,upregulated
CYSLTR1,13.417232,3.1872582,4.792852252840866e-41,2.9618609007933256e-40,CD4+ T Cells,upregulated
CARD8,13.312929,1.5153472,1.9469678081425908e-40,1.1946941240539527e-39,CD4+ T Cells,upregulated
LY9,13.286749,3.545664,2.7632664590557982e-40,1.691196796203025e-39,CD4+ T Cells,upregulated
BBC3,13.132757,1.967217,2.1373140491223215e-39,1.2820008135776509e-38,CD4+ T Cells,upregulated
C1orf162,13.0775795,2.8475413,4.423021281969851e-39,2.6386545072126777e-38,CD4+ T Cells,upregulated
AC245297.3,12.977473,1.3924361,1.6420877231979618e-38,9.726076174256695e-38,CD4+ T Cells,upregulated
HIST1H1D,12.227691,1.9447781,2.2113639736117e-34,1.2259244395446425e-33,CD4+ T Cells,upregulated
SMIM3,12.195531,2.0757897,3.2835733453846e-34,1.8154614648152833e-33,CD4+ T Cells,upregulated
RNF125,12.170693,1.9018102,4.45281408226572e-34,2.4569965458267668e-33,CD4+ T Cells,upregulated
PLAUR,12.165318,2.0087132,4.7559158380932375e-34,2.621619340484929e-33,CD4+ T Cells,upregulated
IL4R,11.6458,1.2234823,2.4105024494132087e-31,1.2682939550094253e-30,CD4+ T Cells,upregulated
GPR174,11.57637,2.9435828,5.4296516867092795e-31,2.8351799792583313e-30,CD4+ T Cells,upregulated
FCMR,11.502566,1.3786223,1.2805090146064309e-30,6.634015530872978e-30,CD4+ T Cells,upregulated
ANXA1,11.358117,1.578672,6.758592360118412e-30,3.461345365725555e-29,CD4+ T Cells,upregulated
PRNP,11.347883,1.1582388,7.598012175192246e-30,3.8828284098008085e-29,CD4+ T Cells,upregulated
ADARB1,11.09239,1.8762695,1.3658857966349073e-28,6.7973678660702565e-28,CD4+ T Cells,upregulated
YPEL5,10.94382,1.4071338,7.113796313212752e-28,3.4949747365299844e-27,CD4+ T Cells,upregulated
ANTXR2,10.942643,3.0920768,7.206739268510078e-28,3.538534658056745e-27,CD4+ T Cells,upregulated
MEI1,10.716254,1.7352096,8.539196709880855e-27,4.126612974614252e-26,CD4+ T Cells,upregulated
ADAM19,10.645442,1.371186,1.831122191381199e-26,8.792470290032198e-26,CD4+ T Cells,upregulated
MAML3,10.584461,3.752409,3.5179853901153e-26,1.6823864776268571e-25,CD4+ T Cells,upregulated
YIPF5,10.577232,1.0008253,3.8001753944064943e-26,1.8152368716724495e-25,CD4+ T Cells,upregulated
CD58,10.548001,1.4402289,5.188889907228723e-26,2.4707363200645374e-25,CD4+ T Cells,upregulated
EMB,10.445185,1.0846901,1.5415473061848533e-25,7.28151036914565e-25,CD4+ T Cells,upregulated
HMCES,10.359928,1.2822456,3.772472576021367e-25,1.769296057562829e-24,CD4+ T Cells,upregulated
MXD4,10.333932,1.658635,4.94892212977391e-25,2.3138344715881015e-24,CD4+ T Cells,upregulated
ARHGAP15,10.312594,1.3727739,6.180971548008374e-25,2.8817233292758525e-24,CD4+ T Cells,upregulated
CALD1,10.223308,4.252602,1.5592791423897813e-24,7.210793953495474e-24,CD4+ T Cells,upregulated
NR4A1,10.153815,2.0446837,3.1865824178222067e-24,1.465827912198215e-23,CD4+ T Cells,upregulated
WHAMM,10.129494,1.9691924,4.087620897053581e-24,1.8719741560391878e-23,CD4+ T Cells,upregulated
MAGED2,10.0537815,1.0518464,8.840828897034934e-24,4.023136694283619e-23,CD4+ T Cells,upregulated
PBXIP1,10.047589,1.7591136,9.414179834874021e-24,4.279337326259255e-23,CD4+ T Cells,upregulated
GPR65,9.845949,1.4780759,7.136222284116374e-23,3.192093803419867e-22,CD4+ T Cells,upregulated
PDE3B,9.785711,1.794415,1.296804179759238e-22,5.741700326821558e-22,CD4+ T Cells,upregulated
TNIK,9.781833,1.4170204,1.347478509447086e-22,5.964467909723357e-22,CD4+ T Cells,upregulated
SDCCAG8,9.77206,1.4227066,1.4840334341420251e-22,6.560133894789272e-22,CD4+ T Cells,upregulated
ITGA1,9.643602,3.7599063,5.2318873906453e-22,2.285254141022222e-21,CD4+ T Cells,upregulated
GLIPR1,9.629991,2.0648458,5.973474067351524e-22,2.605045903264561e-21,CD4+ T Cells,upregulated
PASK,9.612307,1.5833465,7.094139901342311e-22,3.0872576723288896e-21,CD4+ T Cells,upregulated
SOS2,9.332244,1.7577279,1.0365262436695206e-20,4.40077907357198e-20,CD4+ T Cells,upregulated
CARD16,9.023047,1.8965007,1.829280917862541e-19,7.521337279635216e-19,CD4+ T Cells,upregulated
EPHB6,8.973468,1.6341665,2.8732337642288904e-19,1.1749423036363295e-18,CD4+ T Cells,upregulated
LAYN,8.744607,2.1082416,2.2379332027034063e-18,8.982694508035492e-18,CD4+ T Cells,upregulated
LINC00623,8.722293,1.2913195,2.7262433804346773e-18,1.0926778182803748e-17,CD4+ T Cells,upregulated
RGL4,8.710103,2.224029,3.035982748946328e-18,1.2147603851760326e-17,CD4+ T Cells,upregulated
METRNL,8.577865,1.1326816,9.665062880274738e-18,3.8237115993086925e-17,CD4+ T Cells,upregulated
YPEL3,8.37744,1.3934612,5.409122065575647e-17,2.0978107785746828e-16,CD4+ T Cells,upregulated
AKNA,8.27563,1.2260468,1.2777814243886327e-16,4.901570729555746e-16,CD4+ T Cells,upregulated
CCPG1,8.185616,1.302512,2.709159478942568e-16,1.030627336169157e-15,CD4+ T Cells,upregulated
DGKH,8.114407,1.9860927,4.881652778134862e-16,1.844787294150279e-15,CD4+ T Cells,upregulated
ST8SIA4,8.062804,1.981837,7.456410660517501e-16,2.801787391342375e-15,CD4+ T Cells,upregulated
LRRN3,8.047491,1.8191962,8.450851330221427e-16,3.1696921852545185e-15,CD4+ T Cells,upregulated
CDC14A,8.010655,1.7029786,1.1409858674705078e-15,4.262137630530786e-15,CD4+ T Cells,upregulated
SGK1,7.985133,1.63682,1.4037055746181232e-15,5.229348746893423e-15,CD4+ T Cells,upregulated
ERBIN,7.9753118,1.1673673,1.5199649655899394e-15,5.6497326671074016e-15,CD4+ T Cells,upregulated
ST3GAL1,7.7618036,1.2237563,8.373010258771984e-15,3.0485352410680825e-14,CD4+ T Cells,upregulated
NCF1,7.718006,1.6259165,1.1816372493491014e-14,4.2852489457206345e-14,CD4+ T Cells,upregulated
JUN,7.6996884,1.0653995,1.3639863910576222e-14,4.9335614498949905e-14,CD4+ T Cells,upregulated
PRKACB,7.6438527,1.707663,2.10816550368595e-14,7.583800942887656e-14,CD4+ T Cells,upregulated
SLC12A6,7.643404,1.7177092,2.115529692415775e-14,7.608637347429247e-14,CD4+ T Cells,upregulated
SPTBN1,7.6017685,1.226164,2.921112020539845e-14,1.0458200797503229e-13,CD4+ T Cells,upregulated
KIAA1109,7.5303745,1.4573519,5.059499156600296e-14,1.7981718794906317e-13,CD4+ T Cells,upregulated
SERPINB9,7.3693633,1.0758333,1.7144514087909032e-13,6.011849649528237e-13,CD4+ T Cells,upregulated
SESN2,7.242137,1.3727726,4.4167014162390375e-13,1.5289719765615442e-12,CD4+ T Cells,upregulated
NELL2,7.1437287,1.4449244,9.08325614806972e-13,3.1131566201166626e-12,CD4+ T Cells,upregulated
PTPN22,7.0978813,1.3260105,1.266837983973567e-12,4.3213077023454785e-12,CD4+ T Cells,upregulated
LINC01138,7.0884786,1.7767575,1.3559446022680186e-12,4.622398657535812e-12,CD4+ T Cells,upregulated
SENP7,6.956334,1.5468984,3.492416325706295e-12,1.1757754230090596e-11,CD4+ T Cells,upregulated
ITGA2,6.9543386,2.5951471,3.5421973766939872e-12,1.1920496137238191e-11,CD4+ T Cells,upregulated
PARVG,6.942634,1.0190276,3.8485489004079034e-12,1.2940921749907584e-11,CD4+ T Cells,upregulated
GBP3,6.9182158,3.1760666,4.573675197835865e-12,1.5351099400570673e-11,CD4+ T Cells,upregulated
GPR18,6.896002,2.8710577,5.348659773648357e-12,1.7923158394492986e-11,CD4+ T Cells,upregulated
NT5E,6.7129126,2.273501,1.9077755145958313e-11,6.298439545791827e-11,CD4+ T Cells,upregulated
SYNE1,6.6221547,1.4211401,3.5400006436775344e-11,1.1564794674929946e-10,CD4+ T Cells,upregulated
FBXO32,6.6043615,2.1353672,3.992338097732566e-11,1.3014250960418577e-10,CD4+ T Cells,upregulated
AC007384.1,6.589792,2.4234905,4.404437904779985e-11,1.4329370377994612e-10,CD4+ T Cells,upregulated
AQP3,6.5811105,1.4282321,4.669473127464457e-11,1.5182673438631485e-10,CD4+ T Cells,upregulated
AC025164.1,6.513243,1.7853029,7.354531955861435e-11,2.3749637757094423e-10,CD4+ T Cells,upregulated
AC004585.1,6.276599,2.831394,3.4605956795984907e-10,1.09527025365589e-09,CD4+ T Cells,upregulated
PRKD3,6.191184,1.765724,5.971399909615524e-10,1.8745072191593e-09,CD4+ T Cells,upregulated
CAPG,6.173882,1.2499181,6.663329271921062e-10,2.0889379368674616e-09,CD4+ T Cells,upregulated
LINC01619,6.1197295,3.3233466,9.373441773239396e-10,2.9235874500954337e-09,CD4+ T Cells,upregulated
ITGB2-AS1,5.93631,2.6177847,2.9150883120622843e-09,8.917279951271549e-09,CD4+ T Cells,upregulated
BMERB1,5.9017363,2.3148184,3.596958656709422e-09,1.0940390896818782e-08,CD4+ T Cells,upregulated
ATP8A1,5.89619,1.5812348,3.7198993103196122e-09,1.130185098195029e-08,CD4+ T Cells,upregulated
SESN3,5.7999625,1.5739397,6.632976212139303e-09,1.9983517511413308e-08,CD4+ T Cells,upregulated
FMNL3,5.683543,1.5754166,1.3193252036706279e-08,3.92828247985257e-08,CD4+ T Cells,upregulated
