Gene,LogFC,-Log10P
ZBTB16,1.650671,20.30006391923823
FAM102A,-1.6122358,19.52090050828201
H1FX,-1.0763111,19.481489306550696
CDKN1B,-1.4678571,18.28994390617486
SMAD7,-1.3856885,18.203086642884568
LMNA,1.9334213,18.028609385230244
NXPH4,-3.2182927,17.9269381590282
CRTAM,2.7810977,17.85236510341188
TBCD,-1.9850028,17.398471383810683
GZMK,-1.3758287,16.901695081918053
XCL1,4.5696535,16.310696727124842
TCF7,-1.7553384,16.100658453110547
SETBP1,3.5273457,15.944493722779562
NECTIN3,2.4554317,15.782135586091865
CCR1,2.5725741,15.771634150567738
SAMD3,-1.408198,15.760567091227095
TRDC,1.2624242,15.720182645200788
TRG-AS1,-1.967596,15.704439196340104
SUN2,-1.3683723,15.195527146851562
TNFSF10,1.4716816,15.141345933743683
CD40LG,3.4075718,14.889615785223686
PIM3,1.2650349,14.821335927950138
AOAH,-2.3239963,14.735201828091682
SELL,1.516368,14.392826737704157
GALR2,5.077767,14.286148457169393
CAMK4,-2.0517201,14.25936245521922
MHENCR,-3.0051427,13.992458901517628
IFITM3,1.8752255,13.885831004733582
SYNE1,-1.304264,13.703597211293385
TNFRSF4,1.7190256,13.421518420628622
TBX21,1.0859058,12.834663552325075
BCL9L,-2.307937,12.628630607558641
LIME1,-3.434696,12.158828228410997
PDCD1,1.8487612,11.66571767248546
TBC1D10C,-1.2693841,11.514928389045965
IL16,-1.6645433,11.35055708771808
TBC1D2B,-1.5854757,10.705400934854127
P2RY10,-1.9141531,10.533952720480032
CPNE7,-2.5298262,10.362833138442568
ITM2C,-1.7252805,10.037499171541983
DNAJB1,-1.2231529,9.991732562558783
CD84,-1.532777,9.966180995517883
ABLIM1,-1.7015262,9.661648160769126
SNHG14,-1.6700171,9.474695151403274
RGS2,-2.2484298,9.43201105994647
MXRA7,-1.2597572,9.109625150835475
KLHL24,-1.9623723,9.096242144133681
AC018926.2,2.2854977,8.610706027172256
IFIT2,1.688859,8.546375655623073
CTSH,1.3948387,8.487996538893023
RABGAP1L,-1.1482021,8.487996538893023
GLIPR1,-1.1657714,8.467076495480319
HSPA1A,1.039446,8.14676314595746
GADD45A,1.8862766,8.092817957113478
FAM118A,-1.6142219,7.82890776624969
TAGAP,1.1015987,7.75837210324349
LAIR2,1.9105476,7.727235910871017
ST3GAL5,-1.516256,7.685088717444347
DUSP1,-1.0342015,7.474371687399854
F2R,-1.2707059,7.3262513144229295
TNF,2.251945,7.230651768850784
IQCG,2.5591488,7.178312972318224
SELPLG,-1.3473102,7.113515136666927
ANKRD13D,-1.3139976,7.086971133608387
PTPN4,-1.3062121,7.027693683823113
LY9,-2.941607,6.9743286778373
MXI1,-2.171524,6.9478177168891735
S1PR1,-1.705845,6.827548605561901
PLEKHF1,-1.99129,6.7466479011312375
LIMA1,1.4478418,6.724459636225424
GLCCI1,-2.0815024,6.715452163494296
LINC00861,-2.7044497,6.4952421716974795
AC008105.3,-1.514897,6.333367601848973
PLXND1,-2.5681643,6.319859044907196
SYNM,-2.4825478,6.278767324263719
ZNF683,-8.734813,6.096928536008992
CHST12,-1.0219468,5.8281203134480855
PRRC2B,-1.2648661,5.756432417551086
FCMR,-1.4439899,5.581989727404414
FNDC9,27.007105,5.5293580035047984
ABTB1,-1.8698877,5.5076818393252145
AQP3,1.0048932,5.467322768611147
RBL2,-1.2430581,5.299554446292843
GGA2,-1.1825835,5.187281963425079
ILF3-DT,-1.27339,4.964329516654148
DBP,-3.3977003,4.950986498607082
AC245407.2,-2.4293635,4.789820679872168
WAKMAR2,-1.5497409,4.770600692603712
AL121839.2,-2.3532379,4.765649483225012
RALGDS,-1.3937718,4.45887538049095
NMB,2.371029,4.278682591036991
BIN1,-1.2455177,3.932013911774497
CKAP2,-1.73413,3.912182878553705
ATXN7L1,-2.553267,3.911039703118238
STMN3,-2.2864397,3.8585728264521717
SLA2,-1.2158688,3.7830154856520366
GAB3,-1.2546432,3.6545504598369307
FCRL3,2.4051101,3.626598737028356
BTN3A1,-1.2208805,3.5580608992731424
MSC,1.3766556,3.550320838815924
SLC2A4RG,-1.5518404,3.548987466376593
ZC3H6,-1.7464005,3.5417569163289757
SUSD3,-1.7576388,3.5296160850274942
FBXO32,-1.9714309,3.515119994632687
WDR54,-1.3115476,3.495241216591818
HIVEP1,1.3185933,3.378165820823029
FAM111A,-1.3444431,3.3437944518695293
NMT2,-1.4306917,3.324946602006411
EPHA4,-3.0361228,3.22055720773807
BNIP3L,-1.2010374,3.1919926256932967
YPEL1,-3.0404224,3.0877268820933805
ZNF83,-1.6343195,3.079068754025302
AC253572.2,1.4083813,3.042532274951918
CCNH,-1.09286,3.035923820719512
ZNF276,-1.1763861,3.015872039363056
ZFYVE28,-1.2423502,3.0155485920283174
LDLRAD4,-1.4880091,2.9968474167006383
