Gene,LogFC,Adjusted_PValue,Regulation
ATP1B3,2.5267901,1.9032448648156594e-154,Upregulated
SERBP1,1.7144508,2.4863113581743203e-152,Upregulated
EIF5A,1.9462588,4.810255653813852e-152,Upregulated
PLAAT4,-2.0726695,1.9320635484122574e-151,Downregulated
EIF2S2,1.8301146,2.701507111210812e-151,Upregulated
CYTOR,2.2305906,3.32706288159201e-150,Upregulated
ARHGDIB,-1.174425,1.2932168430134984e-148,Downregulated
GBP1,2.5750093,2.526345332369328e-148,Upregulated
SLC3A2,1.8788102,2.949139635248883e-148,Upregulated
RBM3,1.9939561,9.863018878722435e-148,Upregulated
PRDM1,2.8092523,2.973417716457296e-147,Upregulated
DBI,1.7170622,5.422458111669725e-147,Upregulated
PSMB8,1.7411188,1.6650587243837971e-146,Upregulated
TARS,2.8717062,6.916674049311507e-145,Upregulated
TPM3,1.3875529,1.1292772582325527e-144,Upregulated
UBB,1.2357719,1.971761153756226e-144,Upregulated
NDUFV2,1.9011055,2.46081347822387e-144,Upregulated
CYP51A1,3.4183195,1.0894909732230644e-141,Upregulated
NDUFB2,1.7176584,3.326148954738389e-141,Upregulated
SNRPB,1.7210734,1.7792358474196525e-137,Upregulated
EIF2AK2,2.3229532,7.383828115023559e-137,Upregulated
EPSTI1,3.1796513,1.1625215509305704e-136,Upregulated
OSTC,2.0119643,1.403314808753594e-136,Upregulated
NPM1,1.1866767,1.0923535083392154e-134,Upregulated
CHCHD2,1.1980296,1.5674134653709328e-134,Upregulated
SNX9,2.9181252,3.253226698818812e-134,Upregulated
SP100,1.6963943,2.137556618674756e-133,Upregulated
LTA,3.959719,9.44581442650887e-133,Upregulated
CFLAR,1.6295495,4.168919584238754e-132,Upregulated
CIAO2B,1.9216001,8.131352791521786e-132,Upregulated
CCT5,2.0965836,1.4944188873695728e-130,Upregulated
NAMPT,2.4576247,6.707459922454031e-130,Upregulated
CCT6A,2.0266578,5.720193641990197e-129,Upregulated
EIF5B,1.7865613,1.2370456356117638e-128,Upregulated
ARID5B,2.3570864,3.5051419625881882e-127,Upregulated
CD7,1.5299437,4.307410668284227e-127,Upregulated
TXN,1.6237229,7.658363447317983e-127,Upregulated
SAMD9L,2.2037537,3.0574092237148984e-126,Upregulated
NME1,3.0558138,3.524415668434628e-126,Upregulated
CD164,1.9361305,4.7891790428023285e-126,Upregulated
IDI1,2.1457558,2.464292555714535e-125,Upregulated
CD3G,-1.4874403,4.971288014271916e-125,Downregulated
RNF19A,1.636167,1.2076454541861466e-124,Upregulated
GBP5,2.3875597,3.317862648999729e-124,Upregulated
PHF11,2.008454,1.4614673253292645e-123,Upregulated
NHP2,2.1688635,4.012736888231495e-121,Upregulated
SRSF3,1.5349396,1.739782595571107e-120,Upregulated
PDCD4,-1.9382625,2.4519395872644514e-120,Downregulated
RANBP1,1.928258,2.7727231103760876e-120,Upregulated
ANXA1,-1.94829,3.16661867443147e-120,Downregulated
CCT3,1.8446211,8.68105308247115e-120,Upregulated
PSMA6,1.6860373,2.2401171181060644e-119,Upregulated
C17orf49,1.9433061,5.067277989249594e-119,Upregulated
SARAF,-1.0374157,2.1184080496621823e-117,Downregulated
TMEM258,1.5852426,3.616903487855543e-117,Upregulated
IRF9,2.0191247,7.811312343148992e-117,Upregulated
NOL7,1.7566806,8.419155569529686e-117,Upregulated
SNRPE,1.8768799,1.2695262711126697e-116,Upregulated
PFN1,1.0181705,3.994439413139114e-116,Upregulated
PLSCR1,3.0302029,4.5520848464228294e-116,Upregulated
HNRNPAB,2.021797,5.689544969770668e-116,Upregulated
CDV3,1.6745874,4.439587110033816e-115,Upregulated
HSPH1,2.9144385,6.014134046325993e-115,Upregulated
IRF7,2.718559,6.605402467822579e-115,Upregulated
DRAP1,1.4833536,8.29796828965793e-114,Upregulated
TUBA1C,2.7047734,1.373007932434956e-113,Upregulated
BATF,2.5098193,6.925977641231811e-113,Upregulated
MTHFD2,3.5765314,1.8741182234031501e-112,Upregulated
PTPN6,3.1087642,2.805861251332601e-112,Upregulated
CDK6,3.2787712,7.955522881585812e-112,Upregulated
PSMD8,1.5842597,1.1413880695555822e-111,Upregulated
APOBEC3G,1.2952341,4.364439924126994e-111,Upregulated
FABP5,2.8541088,8.218639110926216e-111,Upregulated
HNRNPA2B1,1.0814285,2.4539840440734688e-110,Upregulated
CCT2,2.0294302,6.278772398947158e-110,Upregulated
LSP1,-1.8518053,1.0508284118958733e-109,Downregulated
SLA,1.6630347,4.547775255059491e-109,Upregulated
COX17,1.8644321,2.873461160685153e-108,Upregulated
XAF1,1.9274273,9.525102322594816e-108,Upregulated
POLR2L,1.5954086,4.65604818105156e-106,Upregulated
JUN,-1.7817745,1.7550678057993184e-105,Downregulated
BHLHE40,2.3663366,7.320581960297529e-105,Upregulated
LAP3,2.5129924,7.691525481447349e-105,Upregulated
EIF3J,1.8341142,1.430448567504943e-104,Upregulated
COX7B,1.4878832,2.0404827165630857e-104,Upregulated
NDUFS6,1.6066478,2.4528767483745555e-104,Upregulated
SSR3,1.8620654,3.8183441132047356e-104,Upregulated
SFPQ,1.6633099,1.718341124008748e-103,Upregulated
CREM,1.659711,4.0710937577684663e-103,Upregulated
SELENOK,1.5259414,9.475009941982454e-103,Upregulated
PPP2R5C,-1.3430419,1.1917365746383063e-102,Downregulated
PSMA2,1.5459592,3.3208989441311276e-101,Upregulated
GSTO1,1.7294291,8.407015663212134e-101,Upregulated
PSMB6,1.6890863,9.49306031482772e-101,Upregulated
SPCS3,1.6870834,4.660983943064372e-100,Upregulated
ATP5MC3,1.4699575,2.857268031717634e-99,Upregulated
ATP5MC1,1.8083318,8.13269782940313e-99,Upregulated
HM13,2.119204,1.8752970460033756e-98,Upregulated
MXD4,-2.6034868,3.9146296750008276e-98,Downregulated
PSME1,1.2121192,1.03685026722346e-97,Upregulated
FUBP1,2.1483374,2.991334572813968e-97,Upregulated
FYN,-1.1634488,3.6024042750736035e-97,Downregulated
CCND2,1.7243524,4.123392351061108e-97,Upregulated
PSMA4,1.6432806,2.413095789366247e-96,Upregulated
SLC1A5,4.0881696,1.1247186279084529e-95,Upregulated
SNRPD1,1.6964066,1.1669604089924842e-95,Upregulated
PHB,1.8407987,3.494181403798269e-95,Upregulated
PPA1,1.8752967,3.567540225100302e-95,Upregulated
NDUFAB1,1.6555504,3.97033857044152e-95,Upregulated
NDUFA13,1.2126925,1.4435392160021253e-94,Upregulated
TMED10,1.7188785,2.1486845269329072e-94,Upregulated
FLOT1,2.4574108,7.118351395471175e-94,Upregulated
SQLE,2.9584668,1.483365958498419e-93,Upregulated
BANF1,1.7732686,1.6121316342755915e-93,Upregulated
TOP1,1.639312,2.0204970942755034e-93,Upregulated
SYNCRIP,1.8852744,3.946312157308878e-93,Upregulated
CD226,3.044346,4.071676258565433e-93,Upregulated
RBX1,1.4917506,4.324660402371511e-93,Upregulated
ZBED2,5.657022,4.940529377508971e-93,Upregulated
VMP1,2.1367793,6.541341221469603e-93,Upregulated
C4orf48,1.9823352,8.792344872789395e-93,Upregulated
VDAC1,1.6671165,1.9509534079494924e-92,Upregulated
ACTR3,1.4610338,3.0576752038004975e-92,Upregulated
IL2RB,1.9569217,4.3293182121968724e-92,Upregulated
PRELID1,1.4433134,4.410092798225332e-92,Upregulated
DAD1,1.4912734,7.064275538603943e-92,Upregulated
TMEM208,1.8265512,2.3986725988340697e-91,Upregulated
ILF2,1.9189131,6.804420299495997e-91,Upregulated
P4HB,1.7012311,1.4333642618942656e-90,Upregulated
RAB27A,1.6284935,1.4663417290180294e-90,Upregulated
NOP10,1.5908921,1.6617706501904496e-90,Upregulated
IFI44,3.2037914,2.807550429341941e-90,Upregulated
PSMA5,1.6060526,4.535695972865034e-90,Upregulated
SRM,1.7847862,6.249465714551167e-90,Upregulated
FRMD4B,3.1490488,1.7245112123870743e-89,Upregulated
SLAMF1,3.1179528,2.998857141807808e-89,Upregulated
STAT3,1.5478759,5.058678507548275e-89,Upregulated
IFNG,4.9582253,7.028482511064101e-89,Upregulated
DNAJB11,2.2748482,7.31236249918731e-89,Upregulated
OAS2,2.6274784,1.7558583707065478e-88,Upregulated
SSBP1,1.3592457,3.870467308783152e-88,Upregulated
PMF1,1.9689204,4.637666209690117e-88,Upregulated
CCT8,1.6693311,9.328326050986634e-88,Upregulated
CANX,1.591505,1.9102205026310854e-87,Upregulated
COX6A1,1.2649735,2.887538488200878e-87,Upregulated
UPP1,1.5827163,6.811314859565896e-87,Upregulated
PSMA3,1.6808684,1.0947849281089133e-86,Upregulated
MIR155HG,3.2655203,1.6649323293166443e-86,Upregulated
CCT4,1.7393639,2.4874693230727646e-86,Upregulated
BCL2,3.3115623,9.470530606175356e-86,Upregulated
EIF4G1,2.325293,1.7914351878574026e-85,Upregulated
CACYBP,1.5751436,3.863657691569425e-85,Upregulated
HNRNPM,1.3422,8.020259676128711e-85,Upregulated
LYST,1.7231565,1.2343126217494005e-84,Upregulated
PNRC1,-1.0377253,1.701176431967608e-84,Downregulated
KDELR2,1.8524752,2.5076041888766937e-84,Upregulated
NDUFC2,1.3937172,3.521494700668847e-84,Upregulated
